mp_id,model_name,rl_gain_score,mlip_score,simple_structure,relaxed_structure,cif,gt,elastic_properties
mp-28768,rl_thinking,2.0,0.0,"P1
6.65455070 6.65455070 6.65455070
107.512 107.512 114.158
Na 1 0.36452100 0.37580000 0.29847800
Na 1 0.62420000 0.10614900 0.70152200
Na 1 0.89385100 0.63547900 0.11127900
Na 1 0.12370000 0.87420000 0.88872100
Sn 1 0.00000000 0.00000000 0.00000000
Se 1 0.36616500 0.86010200 0.20626700
Se 1 0.13989800 0.26506300 0.79373300
Se 1 0.73493700 0.63383500 0.59793700
Se 1 0.53190000 0.46810000 0.40206300","P1
9.28980131 5.91320157 4.78891369
87.7634 77.3941 99.7907
Na 1 0.35463567 0.34997112 0.18952314
Na 1 0.50556115 -0.15008417 0.61980938
Na 1 1.03649616 0.54020118 0.33562651
Na 1 0.15864005 0.88311371 0.76082234
Sn 1 -0.20547470 0.15163116 -0.02249680
Se 1 0.34040701 0.85142232 0.19187988
Se 1 0.08805558 0.33089311 0.82620920
Se 1 0.82200421 0.83435288 0.52762712
Se 1 0.67884689 0.42722668 0.57099922","# generated using pymatgen
data_Na4SnSe4
_symmetry_space_group_name_H-M   P1
_cell_length_a   4.78891369
_cell_length_b   5.91320157
_cell_length_c   9.28980131
_cell_angle_alpha   99.79070420
_cell_angle_beta   102.60592810
_cell_angle_gamma   92.23660809
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Na4SnSe4
_chemical_formula_sum   'Na4 Sn1 Se4'
_cell_volume   252.19218867
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.23917766  0.88311371  0.15864005  1
  Na  Na1  1  0.38019062  0.84991583  0.50556115  1
  Na  Na2  1  0.66437349  0.54020118  0.03649616  1
  Na  Na3  1  0.81047686  0.34997112  0.35463567  1
  Sn  Sn4  1  0.02249680  0.15163116  0.79452530  1
  Se  Se5  1  0.17379080  0.33089311  0.08805558  1
  Se  Se6  1  0.42900078  0.42722668  0.67884689  1
  Se  Se7  1  0.47237288  0.83435288  0.82200421  1
  Se  Se8  1  0.80812012  0.85142232  0.34040701  1
","{""bulk_modulus"": [10.0, 50.0], ""shear_modulus"": [0.0, 20.0]}","{""bulk_modulus"": -16.26801300048828, ""shear_modulus"": 23.625503540039062}"
mp-28768,elastic_reward,2.0,2.0,"P1
4.66786578 6.65217815 8.26537743
107.081 106.36 90.0555
Na 1 0.70850400 0.76786800 0.68338300
Na 1 0.29149600 0.23213200 0.31661700
Na 1 0.85637600 0.12056300 0.78765800
Na 1 0.14362400 0.87943700 0.21234200
Sn 1 0.00000000 0.50000000 0.00000000
Se 1 0.56177800 0.34476200 0.28478300
Se 1 0.43822200 0.65523800 0.71521700
Se 1 0.77066600 0.90314800 0.07987200
Se 1 0.22933400 0.09685200 0.92012800","P1
6.86186064 8.37331376 4.52674321
104.665 89.695 72.12
Na 1 0.58789464 0.80461159 0.65987692
Na 1 0.41210696 0.19538714 0.34012309
Na 1 0.80162699 0.12968257 0.79367136
Na 1 0.19837320 0.87031922 0.20632892
Sn 1 0.00000174 0.50000042 0.00000240
Se 1 0.69506006 0.43046472 0.44883111
Se 1 0.30493489 0.56953504 0.55116597
Se 1 0.78351034 0.88205800 0.19068715
Se 1 0.21649118 0.11794128 0.80931307","# generated using pymatgen
data_Na4SnSe4
_symmetry_space_group_name_H-M   P-1
_cell_length_a   4.52674321
_cell_length_b   6.86186064
_cell_length_c   8.37331376
_cell_angle_alpha   107.87995687
_cell_angle_beta   104.66505518
_cell_angle_gamma   90.30496382
_symmetry_Int_Tables_number   2
_chemical_formula_structural   Na4SnSe4
_chemical_formula_sum   'Na4 Sn1 Se4'
_cell_volume   238.48881938
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  2  0.20632864  0.80162699  0.87031743  1
  Na  Na1  2  0.34012308  0.58789464  0.19538841  1
  Sn  Sn2  1  0.00000000  0.00000000  0.50000000  1
  Se  Se3  2  0.19068715  0.21648966  0.88205800  1
  Se  Se4  2  0.44883111  0.30493994  0.43046472  1
","{""bulk_modulus"": [10.0, 50.0], ""shear_modulus"": [0.0, 20.0]}","{""bulk_modulus"": 14.33060359954834, ""shear_modulus"": 4.7661871910095215}"
mp-1185318,rl_thinking,1.0,1.0,"P1
4.04241404 4.04241371 3.94952378
90 90 120
Li 1 0.00000000 0.00000000 0.00000000
Ge 1 0.33333300 0.66666700 0.50000000
Ge 1 0.66666700 0.33333300 0.50000000
Ir 1 0.33333300 0.66666700 0.00000000","P1
4.50680468 4.50680472 4.70104101
90 90 120
Li 1 -0.00000011 0.00000010 -0.00000001
Ge 1 0.33333322 0.66666677 0.50000001
Ge 1 0.66666679 0.33333321 0.49999999
Ir 1 0.33333311 0.66666692 0.00000001","# generated using pymatgen
data_LiGe2Ir
_symmetry_space_group_name_H-M   P-6m2
_cell_length_a   4.50680470
_cell_length_b   4.50680470
_cell_length_c   4.70104101
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   187
_chemical_formula_structural   LiGe2Ir
_chemical_formula_sum   'Li1 Ge2 Ir1'
_cell_volume   82.69174342
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x+y, -x, -z'
  3  '-y, x-y, z'
  4  'x, y, -z'
  5  '-x+y, -x, z'
  6  '-y, x-y, -z'
  7  '-y, -x, -z'
  8  'x, x-y, z'
  9  '-x+y, y, -z'
  10  '-y, -x, z'
  11  'x, x-y, -z'
  12  '-x+y, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.33333333  0.66666667  0.50000000  1
  Ge  Ge1  1  0.00000000  0.00000000  0.00000000  1
  Ge  Ge2  1  0.66666667  0.33333333  0.00000000  1
  Ir  Ir3  1  0.66666667  0.33333333  0.50000000  1
","{""bulk_modulus"": [50.0, 150.0], ""shear_modulus"": [20.0, 80.0]}","{""bulk_modulus"": 62.16130065917969, ""shear_modulus"": 195.77072143554688}"
mp-1185318,elastic_reward,1.0,2.0,"P1
5.61216779 5.61216779 5.78483855
90 90 136.928
Li 1 0.54885176 0.45114824 0.25000000
Li 1 0.45114824 0.54885176 0.75000000
Ge 1 0.25488669 0.74511331 0.25000000
Ge 1 0.74511331 0.25488669 0.75000000
Ge 1 0.90420922 0.09579078 0.25000000
Ge 1 0.09579078 0.90420922 0.75000000
Ir 1 0.81361344 0.18638656 0.25000000
Ir 1 0.18638656 0.81361344 0.75000000","P1
8.83135136 8.83135330 4.30845278
89.9981 89.998 152.273
Li 1 0.60896395 0.39103603 0.25000006
Li 1 0.39103608 0.60896396 0.74999993
Ge 1 0.24855793 0.75144260 0.24999993
Ge 1 0.75144205 0.24855745 0.75000010
Ge 1 0.96156992 0.03843036 0.25000012
Ge 1 0.03843012 0.96156967 0.74999990
Ir 1 0.82158691 0.17841340 0.25000010
Ir 1 0.17841305 0.82158653 0.74999986","# generated using pymatgen
data_LiGe2Ir
_symmetry_space_group_name_H-M   Cmcm
_cell_length_a   4.23220928
_cell_length_b   17.14816434
_cell_length_c   4.30845278
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   63
_chemical_formula_structural   LiGe2Ir
_chemical_formula_sum   'Li4 Ge8 Ir4'
_cell_volume   312.68432502
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-x, -y, z+1/2'
  4  'x, y, -z+1/2'
  5  'x, -y, -z'
  6  '-x, y, z'
  7  '-x, y, -z+1/2'
  8  'x, -y, z+1/2'
  9  'x+1/2, y+1/2, z'
  10  '-x+1/2, -y+1/2, -z'
  11  '-x+1/2, -y+1/2, z+1/2'
  12  'x+1/2, y+1/2, -z+1/2'
  13  'x+1/2, -y+1/2, -z'
  14  '-x+1/2, y+1/2, z'
  15  '-x+1/2, y+1/2, -z+1/2'
  16  'x+1/2, -y+1/2, z+1/2'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  4  0.00000000  0.39103607  0.75000000  1
  Ge  Ge1  4  0.00000000  0.03843024  0.75000000  1
  Ge  Ge2  4  0.00000000  0.24855764  0.25000000  1
  Ir  Ir3  4  0.00000000  0.17841327  0.75000000  1
","{""bulk_modulus"": [50.0, 150.0], ""shear_modulus"": [20.0, 80.0]}","{""bulk_modulus"": 89.7204818725586, ""shear_modulus"": 36.99671173095703}"
mp-1206551,rl_thinking,1.0,1.0,"P1
4.45247500 7.37161400 10.07004203
90.1081 90.2335 90.1521
Ge 1 0.25008500 0.13506100 0.84733700
Ge 1 0.74991500 0.86493900 0.15266300
Bi 1 0.25010300 0.64023200 0.63841400
Bi 1 0.74989700 0.35976800 0.36158600
Te 1 0.74995500 0.05248400 0.73771800
Te 1 0.25004500 0.94751600 0.26228200
Te 1 0.74994400 0.67013100 0.56228400
Te 1 0.25005600 0.32986900 0.43771600
Te 1 0.00000000 0.00000000 0.00000000","P1
4.14762958 7.04573475 15.28206229
58.1897 83.2142 89.8865
Ge 1 0.16293058 0.18225510 0.79544318
Ge 1 0.83706938 0.81774491 0.20455687
Bi 1 0.20840581 0.65893049 0.69385802
Bi 1 0.79159420 0.34106953 0.30614193
Te 1 0.68802229 0.02808630 0.73843914
Te 1 0.31197789 0.97191367 0.26156086
Te 1 0.76922139 0.69978431 0.54844329
Te 1 0.23077851 0.30021564 0.45155667
Te 1 -0.00000005 0.00000005 0.00000003","# generated using pymatgen
data_Ge2Bi2Te5
_symmetry_space_group_name_H-M   P-1
_cell_length_a   4.14762958
_cell_length_b   7.04573475
_cell_length_c   13.02584280
_cell_angle_alpha   85.55477840
_cell_angle_beta   82.09374450
_cell_angle_gamma   89.88653932
_symmetry_Int_Tables_number   2
_chemical_formula_structural   Ge2Bi2Te5
_chemical_formula_sum   'Ge2 Bi2 Te5'
_cell_volume   375.88844640
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  2  0.16293058  0.97769828  0.79544318  1
  Bi  Bi1  2  0.20840581  0.35278851  0.69385802  1
  Te  Te2  2  0.23077861  0.75177240  0.45155671  1
  Te  Te3  2  0.31197771  0.23347456  0.26156086  1
  Te  Te4  1  0.00000000  0.00000000  0.00000000  1
","{""bulk_modulus"": [10.0, 50.0], ""shear_modulus"": [20.0, 80.0]}","{""bulk_modulus"": 10.603948593139648, ""shear_modulus"": 2.6760642528533936}"
mp-1206551,elastic_reward,1.0,2.0,"P1
4.31666933 4.31666933 17.58902100
90 90 120
Ge 1 0.33333300 0.66666700 0.11664600
Ge 1 0.66666700 0.33333300 0.88335400
Bi 1 0.33333300 0.66666700 0.62389000
Bi 1 0.66666700 0.33333300 0.37611000
Te 1 0.33333300 0.66666700 0.90156700
Te 1 0.66666700 0.33333300 0.09843300
Te 1 0.00000000 0.00000000 0.50000000
Te 1 0.00000000 0.00000000 0.18273800
Te 1 0.00000000 0.00000000 0.81726200","P1
8.32399211 4.09557690 12.93441234
90.0178 60.0123 104.155
Ge 1 0.32700762 0.66525890 0.14345490
Ge 1 0.67299251 0.33474120 0.85654510
Bi 1 0.20499161 0.60066519 0.60171121
Bi 1 0.79500814 0.39933341 0.39828878
Te 1 0.40909952 0.70400302 0.91018963
Te 1 0.59090078 0.29599709 0.08981039
Te 1 -0.00000025 0.00000121 0.50000006
Te 1 -0.06721751 -0.03281028 0.20417844
Te 1 0.06721757 0.03281026 0.79582148","# generated using pymatgen
data_Ge2Bi2Te5
_symmetry_space_group_name_H-M   P-1
_cell_length_a   4.09557690
_cell_length_b   8.32399211
_cell_length_c   11.35614801
_cell_angle_alpha   80.57726508
_cell_angle_beta   79.69420884
_cell_angle_gamma   75.84468751
_symmetry_Int_Tables_number   2
_chemical_formula_structural   Ge2Bi2Te5
_chemical_formula_sum   'Ge2 Bi2 Te5'
_cell_volume   366.40529441
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  2  0.33474110  0.47046252  0.85654510  1
  Bi  Bi1  2  0.39933481  0.80670282  0.39828879  1
  Te  Te2  2  0.03281028  0.13696094  0.79582156  1
  Te  Te3  2  0.29599698  0.31928916  0.08981037  1
  Te  Te4  1  0.00000000  0.50000000  0.50000000  1
","{""bulk_modulus"": [10.0, 50.0], ""shear_modulus"": [20.0, 80.0]}","{""bulk_modulus"": 39.090110778808594, ""shear_modulus"": 52.727256774902344}"
mp-9630,rl_thinking,2.0,0.0,"P1
6.96856520 6.96856520 6.96856549
33.5065 33.5065 33.5065
Tl 1 0.79181700 0.79181700 0.79181700
Cr 1 0.00331400 0.00331400 0.00331400
S 1 0.11552400 0.11552400 0.11552400
S 1 0.58596100 0.58596100 0.58596100","P1
8.12238126 8.12238161 8.12238001
27.6247 27.6247 27.6247
Tl 1 0.82049716 0.82049719 0.82049733
Cr 1 -0.01764680 -0.01764682 -0.01764693
S 1 0.07535581 0.07535579 0.07535583
S 1 0.61840983 0.61840983 0.61840977","# generated using pymatgen
data_TlCrS2
_symmetry_space_group_name_H-M   R3m
_cell_length_a   3.87831643
_cell_length_b   3.87831643
_cell_length_c   23.42293004
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   160
_chemical_formula_structural   TlCrS2
_chemical_formula_sum   'Tl3 Cr3 S6'
_cell_volume   305.11132909
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-y, x-y, z'
  3  '-x+y, -x, z'
  4  '-y, -x, z'
  5  '-x+y, y, z'
  6  'x, x-y, z'
  7  'x+2/3, y+1/3, z+1/3'
  8  '-y+2/3, x-y+1/3, z+1/3'
  9  '-x+y+2/3, -x+1/3, z+1/3'
  10  '-y+2/3, -x+1/3, z+1/3'
  11  '-x+y+2/3, y+1/3, z+1/3'
  12  'x+2/3, x-y+1/3, z+1/3'
  13  'x+1/3, y+2/3, z+2/3'
  14  '-y+1/3, x-y+2/3, z+2/3'
  15  '-x+y+1/3, -x+2/3, z+2/3'
  16  '-y+1/3, -x+2/3, z+2/3'
  17  '-x+y+1/3, y+2/3, z+2/3'
  18  'x+1/3, x-y+2/3, z+2/3'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tl  Tl0  3  0.00000000  0.00000000  0.17950267  1
  Cr  Cr1  3  0.00000000  0.00000000  0.01764675  1
  S  S2  3  0.00000000  0.00000000  0.38159009  1
  S  S3  3  0.00000000  0.00000000  0.92464409  1
","{""bulk_modulus"": [50.0, 150.0], ""shear_modulus"": [20.0, 80.0]}","{""bulk_modulus"": 45.23802947998047, ""shear_modulus"": 17.933481216430664}"
mp-9630,elastic_reward,2.0,2.0,"P1
6.71489017 6.71489017 6.71489026
33.5313 33.5313 33.5313
Tl 1 0.50000000 0.50000000 0.50000000
Cr 1 0.00000000 0.00000000 -0.00000000
S 1 0.73594996 0.73594996 0.73594996
S 1 0.26405004 0.26405004 0.26405004","P1
7.79809559 7.79809548 7.79809528
26.6063 26.6063 26.6063
Tl 1 0.50000000 0.50000000 0.50000000
Cr 1 -0.00000002 -0.00000000 0.00000004
S 1 0.72284129 0.72284130 0.72284127
S 1 0.27715873 0.27715871 0.27715869","# generated using pymatgen
data_TlCrS2
_symmetry_space_group_name_H-M   R-3m
_cell_length_a   3.58873362
_cell_length_b   3.58873362
_cell_length_c   22.55339456
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   166
_chemical_formula_structural   TlCrS2
_chemical_formula_sum   'Tl3 Cr3 S6'
_cell_volume   251.55039093
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y, x-y, z'
  4  'y, -x+y, -z'
  5  '-x+y, -x, z'
  6  'x-y, x, -z'
  7  'y, x, -z'
  8  '-y, -x, z'
  9  'x-y, -y, -z'
  10  '-x+y, y, z'
  11  '-x, -x+y, -z'
  12  'x, x-y, z'
  13  'x+2/3, y+1/3, z+1/3'
  14  '-x+2/3, -y+1/3, -z+1/3'
  15  '-y+2/3, x-y+1/3, z+1/3'
  16  'y+2/3, -x+y+1/3, -z+1/3'
  17  '-x+y+2/3, -x+1/3, z+1/3'
  18  'x-y+2/3, x+1/3, -z+1/3'
  19  'y+2/3, x+1/3, -z+1/3'
  20  '-y+2/3, -x+1/3, z+1/3'
  21  'x-y+2/3, -y+1/3, -z+1/3'
  22  '-x+y+2/3, y+1/3, z+1/3'
  23  '-x+2/3, -x+y+1/3, -z+1/3'
  24  'x+2/3, x-y+1/3, z+1/3'
  25  'x+1/3, y+2/3, z+2/3'
  26  '-x+1/3, -y+2/3, -z+2/3'
  27  '-y+1/3, x-y+2/3, z+2/3'
  28  'y+1/3, -x+y+2/3, -z+2/3'
  29  '-x+y+1/3, -x+2/3, z+2/3'
  30  'x-y+1/3, x+2/3, -z+2/3'
  31  'y+1/3, x+2/3, -z+2/3'
  32  '-y+1/3, -x+2/3, z+2/3'
  33  'x-y+1/3, -y+2/3, -z+2/3'
  34  '-x+y+1/3, y+2/3, z+2/3'
  35  '-x+1/3, -x+y+2/3, -z+2/3'
  36  'x+1/3, x-y+2/3, z+2/3'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tl  Tl0  3  -0.00000000  -0.00000000  0.50000000  1
  Cr  Cr1  3  -0.00000000  -0.00000000  0.00000000  1
  S  S2  6  0.00000000  0.00000000  0.27715872  1
","{""bulk_modulus"": [50.0, 150.0], ""shear_modulus"": [20.0, 80.0]}","{""bulk_modulus"": 63.268798828125, ""shear_modulus"": 34.607933044433594}"
mp-1103153,rl_thinking,1.0,1.0,"P1
4.24360532 4.24360532 5.26218464
90 90 120
Ce 1 0.33333300 0.66666700 0.98634017
Sb 1 0.00000000 0.00000000 0.73137470
Se 1 0.66666700 0.33333300 0.27242741","P1
4.91908001 4.91908123 4.01589736
90.0001 89.9999 120
Ce 1 0.33333324 0.66666675 1.09842565
Sb 1 0.00000000 0.00000004 0.62613941
Se 1 0.66666675 0.33333320 0.26557722","# generated using pymatgen
data_CeSbSe
_symmetry_space_group_name_H-M   P3m1
_cell_length_a   4.91908062
_cell_length_b   4.91908062
_cell_length_c   4.01589736
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   156
_chemical_formula_structural   CeSbSe
_chemical_formula_sum   'Ce1 Sb1 Se1'
_cell_volume   84.15523102
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-y, x-y, z'
  3  '-x+y, -x, z'
  4  '-y, -x, z'
  5  '-x+y, y, z'
  6  'x, x-y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.66666667  0.33333333  0.09842565  1
  Sb  Sb1  1  0.33333333  0.66666667  0.62613941  1
  Se  Se2  1  0.00000000  0.00000000  0.26557722  1
","{""bulk_modulus"": [50.0, 150.0], ""shear_modulus"": [20.0, 80.0]}","{""bulk_modulus"": 53.510047912597656, ""shear_modulus"": 13.728498458862305}"
mp-1103153,elastic_reward,1.0,2.0,"P1
4.25229291 4.25229300 10.05998342
90 90 120
Ce 1 0.33333300 0.66666700 0.25000000
Ce 1 0.66666700 0.33333300 0.75000000
Sb 1 0.00000000 0.00000000 0.50000000
Sb 1 0.00000000 0.00000000 0.00000000
Se 1 0.66666700 0.33333300 0.25000000
Se 1 0.33333300 0.66666700 0.75000000","P1
5.40783891 5.40783863 6.03507790
90 90 120
Ce 1 0.33333313 0.66666688 0.25000000
Ce 1 0.66666688 0.33333312 0.75000000
Sb 1 0.00000001 0.00000003 0.50000000
Sb 1 0.00000001 0.00000001 -0.00000000
Se 1 0.66666688 0.33333311 0.25000000
Se 1 0.33333309 0.66666685 0.75000000","# generated using pymatgen
data_CeSbSe
_symmetry_space_group_name_H-M   P6_3/mmc
_cell_length_a   5.40783877
_cell_length_b   5.40783877
_cell_length_c   6.03507790
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   194
_chemical_formula_structural   CeSbSe
_chemical_formula_sum   'Ce2 Sb2 Se2'
_cell_volume   152.84842983
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  'x-y, x, z+1/2'
  4  '-x+y, -x, -z+1/2'
  5  '-y, x-y, z'
  6  'y, -x+y, -z'
  7  '-x, -y, z+1/2'
  8  'x, y, -z+1/2'
  9  '-x+y, -x, z'
  10  'x-y, x, -z'
  11  'y, -x+y, z+1/2'
  12  '-y, x-y, -z+1/2'
  13  '-y, -x, -z+1/2'
  14  'y, x, z+1/2'
  15  '-x, -x+y, -z'
  16  'x, x-y, z'
  17  '-x+y, y, -z+1/2'
  18  'x-y, -y, z+1/2'
  19  'y, x, -z'
  20  '-y, -x, z'
  21  'x, x-y, -z+1/2'
  22  '-x, -x+y, z+1/2'
  23  'x-y, -y, -z'
  24  '-x+y, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  2  0.33333333  0.66666667  0.25000000  1
  Sb  Sb1  2  0.00000000  0.00000000  0.00000000  1
  Se  Se2  2  0.33333333  0.66666667  0.75000000  1
","{""bulk_modulus"": [50.0, 150.0], ""shear_modulus"": [20.0, 80.0]}","{""bulk_modulus"": 72.66705322265625, ""shear_modulus"": 27.028121948242188}"
