mp_id,model_name,rl_gain_score,mlip_score,simple_structure,structure_validity,smact_validity,cif,converged,relaxed_structures_300
mp-753227,With_Thinking,3.524271647135416,0.9600606802038572,"P1
5.09440363 5.09440363 3.01090400
90 90 120.35
Li 1 0.00000000 0.00000000 0.00000000
Li 1 0.00000000 0.00000000 0.50000000
Cr 1 0.33263500 0.66736500 0.00000000
Cr 1 0.66736500 0.33263500 0.50000000
O 1 0.33087100 0.16543500 0.00000000
O 1 0.16543500 0.33087100 0.50000000
O 1 0.83456500 0.66912900 0.50000000
O 1 0.66912900 0.83456500 0.00000000",True,True,"# generated using pymatgen
data_LiCrO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.02653319
_cell_length_b   8.01829257
_cell_length_c   3.33160703
_cell_angle_alpha   90.00009949
_cell_angle_beta   89.99990358
_cell_angle_gamma   140.60376094
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCrO2
_chemical_formula_sum   'Li2 Cr2 O4'
_cell_volume   136.08753340
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.03727116  -0.14284554  -0.00000070  1
  Li  Li1  1  -0.14282656  0.03707127  0.50000077  1
  Cr  Cr2  1  0.36041723  0.56333870  0.00000088  1
  Cr  Cr3  1  0.56327687  0.36045006  0.49999911  1
  O  O4  1  0.40029890  0.20666182  -0.00000092  1
  O  O5  1  0.20668003  0.40027381  0.50000080  1
  O  O6  1  0.88326994  0.69174786  0.49999924  1
  O  O7  1  0.69161244  0.88330200  0.00000084  1
",True,"P1
8.02653319 8.01829257 3.33160703
90.0001 89.9999 140.604
Li 1 0.03727116 -0.14284554 -0.00000070
Li 1 -0.14282656 0.03707127 0.50000077
Cr 1 0.36041723 0.56333870 0.00000088
Cr 1 0.56327687 0.36045006 0.49999911
O 1 0.40029890 0.20666182 -0.00000092
O 1 0.20668003 0.40027381 0.50000080
O 1 0.88326994 0.69174786 0.49999924
O 1 0.69161244 0.88330200 0.00000084"
mp-753227,RL_With_Thinking,3.524271647135416,0.026873195462646216,"P1
5.28638861 5.28638861 5.28638855
33.5898 33.5898 33.5898
Li 1 0.50000000 0.50000000 0.50000000
Cr 1 0.00000000 0.00000000 0.00000000
O 1 0.25245600 0.25245600 0.25245600
O 1 0.74754400 0.74754400 0.74754400",True,True,"# generated using pymatgen
data_LiCrO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.15694576
_cell_length_b   5.15694552
_cell_length_c   5.15694591
_cell_angle_alpha   33.49912336
_cell_angle_beta   33.49912335
_cell_angle_gamma   33.49912150
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCrO2
_chemical_formula_sum   'Li1 Cr1 O2'
_cell_volume   37.20814264
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.50000000  0.49999999  0.50000001  1
  Cr  Cr1  1  -0.00000001  0.00000000  -0.00000001  1
  O  O2  1  0.25872349  0.25872349  0.25872348  1
  O  O3  1  0.74127651  0.74127651  0.74127653  1
",True,"P1
5.15694576 5.15694552 5.15694591
33.4991 33.4991 33.4991
Li 1 0.50000000 0.49999999 0.50000001
Cr 1 -0.00000001 0.00000000 -0.00000001
O 1 0.25872349 0.25872349 0.25872348
O 1 0.74127651 0.74127651 0.74127653"
mp-753227,No_Thinking,3.524271647135416,2.645583236508789,"P1
2.94777500 2.94777500 11.96126800
90 90 90
Li 1 0.50000000 0.50000000 0.00000000
Li 1 0.00000000 0.00000000 0.50000000
Cr 1 0.00000000 0.00000000 0.00000000
Cr 1 0.50000000 0.50000000 0.50000000
O 1 0.50000000 0.50000000 0.16811100
O 1 0.00000000 0.00000000 0.33188900
O 1 0.00000000 0.00000000 0.66811100
O 1 0.50000000 0.50000000 0.83188900",True,True,"# generated using pymatgen
data_LiCrO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.51518784
_cell_length_b   5.51518658
_cell_length_c   7.02861544
_cell_angle_alpha   90.01969551
_cell_angle_beta   89.96182067
_cell_angle_gamma   90.00000924
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCrO2
_chemical_formula_sum   'Li2 Cr2 O4'
_cell_volume   213.79137365
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.49999994  0.50000000  -0.00000001  1
  Li  Li1  1  0.00000024  0.00000023  0.50000000  1
  Cr  Cr2  1  -0.00000009  0.00000002  0.00000000  1
  Cr  Cr3  1  0.50000015  0.50000019  0.50000000  1
  O  O4  1  0.50000936  0.49999518  0.25290752  1
  O  O5  1  -0.00000948  0.00000460  0.24709247  1
  O  O6  1  0.00000918  -0.00000500  0.75290753  1
  O  O7  1  0.49999069  0.50000477  0.74709248  1
",True,"P1
5.51518784 5.51518658 7.02861544
90.0197 89.9618 90
Li 1 0.49999994 0.50000000 -0.00000001
Li 1 0.00000024 0.00000023 0.50000000
Cr 1 -0.00000009 0.00000002 0.00000000
Cr 1 0.50000015 0.50000019 0.50000000
O 1 0.50000936 0.49999518 0.25290752
O 1 -0.00000948 0.00000460 0.24709247
O 1 0.00000918 -0.00000500 0.75290753
O 1 0.49999069 0.50000477 0.74709248"
mp-753227,RL_No_Thinking,3.524271647135416,0.05449907411458366,"P1
2.92586100 2.92586100 18.43026400
90 90 120
Li 1 0.33333333 0.66666667 0.16666667
Li 1 -0.00000000 -0.00000000 0.50000000
Li 1 0.66666667 0.33333333 0.83333333
Cr 1 0.00000000 0.00000000 0.00000000
Cr 1 0.66666667 0.33333333 0.33333333
Cr 1 0.33333333 0.66666667 0.66666667
O 1 0.66666667 0.33333333 0.08427700
O 1 0.00000000 0.00000000 0.24905633
O 1 0.33333333 0.66666667 0.41761033
O 1 0.66666667 0.33333333 0.58238967
O 1 0.00000000 0.00000000 0.75094367
O 1 0.33333333 0.66666667 0.91572300",True,True,"# generated using pymatgen
data_LiCrO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.96923311
_cell_length_b   2.96923310
_cell_length_c   14.55008030
_cell_angle_alpha   89.99999999
_cell_angle_beta   89.99999964
_cell_angle_gamma   119.99999981
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiCrO2
_chemical_formula_sum   'Li3 Cr3 O6'
_cell_volume   111.09246672
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.33333333  0.66666667  0.16666667  1
  Li  Li1  1  -0.00000000  -0.00000000  0.50000000  1
  Li  Li2  1  0.66666667  0.33333334  0.83333333  1
  Cr  Cr3  1  -0.00000001  0.00000001  0.00000001  1
  Cr  Cr4  1  0.66666666  0.33333333  0.33333333  1
  Cr  Cr5  1  0.33333335  0.66666668  0.66666666  1
  O  O6  1  0.66666666  0.33333332  0.07514675  1
  O  O7  1  0.00000001  0.00000001  0.25818658  1
  O  O8  1  0.33333333  0.66666668  0.40848008  1
  O  O9  1  0.66666665  0.33333333  0.59151993  1
  O  O10  1  0.00000001  -0.00000000  0.74181342  1
  O  O11  1  0.33333334  0.66666665  0.92485325  1
",True,"P1
2.96923311 2.96923310 14.55008030
90 90 120
Li 1 0.33333333 0.66666667 0.16666667
Li 1 -0.00000000 -0.00000000 0.50000000
Li 1 0.66666667 0.33333334 0.83333333
Cr 1 -0.00000001 0.00000001 0.00000001
Cr 1 0.66666666 0.33333333 0.33333333
Cr 1 0.33333335 0.66666668 0.66666666
O 1 0.66666666 0.33333332 0.07514675
O 1 0.00000001 0.00000001 0.25818658
O 1 0.33333333 0.66666668 0.40848008
O 1 0.66666665 0.33333333 0.59151993
O 1 0.00000001 -0.00000000 0.74181342
O 1 0.33333334 0.66666665 0.92485325"
mp-763901,With_Thinking,2.1078801971435563,1.261946135375001,"P1
3.30768700 4.97537600 7.23408715
75.1929 90 90
Na 1 0.75000000 0.22944600 0.62726600
Na 1 0.25000000 0.77055400 0.37273400
V 1 0.25000000 0.35939700 0.86581500
V 1 0.75000000 0.64060300 0.13418500
O 1 0.75000000 0.35604700 0.92716500
O 1 0.25000000 0.64395300 0.07283500
O 1 0.25000000 0.06260900 0.65222600
O 1 0.75000000 0.93739100 0.34777400
O 1 0.25000000 0.30203500 0.45903700
O 1 0.75000000 0.69796500 0.54096300",True,True,"# generated using pymatgen
data_NaVO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.34072049
_cell_length_b   3.25737587
_cell_length_c   9.17914446
_cell_angle_alpha   68.40170809
_cell_angle_beta   90.00001751
_cell_angle_gamma   90.00001699
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaVO3
_chemical_formula_sum   'Na2 V2 O6'
_cell_volume   120.67452171
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.75000023  0.10826641  0.60493838  1
  Na  Na1  1  0.25000005  0.89173358  0.39506164  1
  V  V2  1  0.24999988  0.34663172  0.90610459  1
  V  V3  1  0.74999994  0.65336827  0.09389537  1
  O  O4  1  0.74999985  0.31063549  0.94246654  1
  O  O5  1  0.25000003  0.68936453  0.05753345  1
  O  O6  1  0.24999961  -0.00316534  0.76503284  1
  O  O7  1  0.75000011  1.00316540  0.23496714  1
  O  O8  1  0.25000029  0.18657671  0.59405709  1
  O  O9  1  0.75000007  0.81342324  0.40594294  1
",True,"P1
4.34072049 3.25737587 9.17914446
68.4017 90 90
Na 1 0.75000023 0.10826641 0.60493838
Na 1 0.25000005 0.89173358 0.39506164
V 1 0.24999988 0.34663172 0.90610459
V 1 0.74999994 0.65336827 0.09389537
O 1 0.74999985 0.31063549 0.94246654
O 1 0.25000003 0.68936453 0.05753345
O 1 0.24999961 -0.00316534 0.76503284
O 1 0.75000011 1.00316540 0.23496714
O 1 0.25000029 0.18657671 0.59405709
O 1 0.75000007 0.81342324 0.40594294"
mp-763901,RL_With_Thinking,2.1078801971435563,0.055793614623047105,"P1
5.51108061 5.51108061 5.51108089
54.5811 54.5811 54.5811
Na 1 0.84931200 0.84931200 0.84931200
Na 1 0.15068800 0.15068800 0.15068800
V 1 0.64641000 0.64641000 0.64641000
V 1 0.35359000 0.35359000 0.35359000
O 1 0.93332500 0.24035800 0.55023200
O 1 0.24035800 0.55023200 0.93332500
O 1 0.55023200 0.93332500 0.24035800
O 1 0.44976800 0.06667500 0.75964200
O 1 0.75964200 0.44976800 0.06667500
O 1 0.06667500 0.75964200 0.44976800",True,True,"# generated using pymatgen
data_NaVO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.04400851
_cell_length_b   6.04400539
_cell_length_c   6.04400675
_cell_angle_alpha   50.20236489
_cell_angle_beta   50.20235635
_cell_angle_gamma   50.20234528
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaVO3
_chemical_formula_sum   'Na2 V2 O6'
_cell_volume   119.99562424
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.85752986  0.85752990  0.85752991  1
  Na  Na1  1  0.14247011  0.14247012  0.14247007  1
  V  V2  1  0.64782704  0.64782695  0.64782699  1
  V  V3  1  0.35217296  0.35217304  0.35217304  1
  O  O4  1  0.93337346  0.32447611  0.53485109  1
  O  O5  1  0.32447611  0.53485105  0.93337348  1
  O  O6  1  0.53485109  0.93337348  0.32447605  1
  O  O7  1  0.46514889  0.06662653  0.67552393  1
  O  O8  1  0.67552397  0.46514895  0.06662646  1
  O  O9  1  0.06662650  0.67552387  0.46514898  1
",True,"P1
6.04400851 6.04400539 6.04400675
50.2024 50.2024 50.2023
Na 1 0.85752986 0.85752990 0.85752991
Na 1 0.14247011 0.14247012 0.14247007
V 1 0.64782704 0.64782695 0.64782699
V 1 0.35217296 0.35217304 0.35217304
O 1 0.93337346 0.32447611 0.53485109
O 1 0.32447611 0.53485105 0.93337348
O 1 0.53485109 0.93337348 0.32447605
O 1 0.46514889 0.06662653 0.67552393
O 1 0.67552397 0.46514895 0.06662646
O 1 0.06662650 0.67552387 0.46514898"
mp-763901,No_Thinking,2.1078801971435563,1.0391359760732435,"P1
3.86555300 10.41537400 7.21325200
90 90 90
Na 1 0.50000000 0.25133900 0.25000000
Na 1 0.00000000 0.24866100 0.75000000
Na 1 0.00000000 0.75133900 0.25000000
Na 1 0.50000000 0.74866100 0.75000000
V 1 0.50000000 0.00000000 0.00000000
V 1 0.50000000 0.00000000 0.50000000
V 1 0.00000000 0.50000000 0.00000000
V 1 0.00000000 0.50000000 0.50000000
O 1 0.50000000 0.44003000 0.25000000
O 1 0.00000000 0.05997000 0.75000000
O 1 0.50000000 0.12821400 0.94446200
O 1 0.00000000 0.37178600 0.05553800
O 1 0.00000000 0.37178600 0.44446200
O 1 0.50000000 0.12821400 0.55553800
O 1 0.00000000 0.94003000 0.25000000
O 1 0.50000000 0.55997000 0.75000000
O 1 0.00000000 0.62821400 0.94446200
O 1 0.50000000 0.87178600 0.05553800
O 1 0.50000000 0.87178600 0.44446200
O 1 0.00000000 0.62821400 0.55553800",True,True,"# generated using pymatgen
data_NaVO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.98024310
_cell_length_b   12.80279826
_cell_length_c   5.89386631
_cell_angle_alpha   90.00000027
_cell_angle_beta   89.99999876
_cell_angle_gamma   89.99999068
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaVO3
_chemical_formula_sum   'Na4 V4 O12'
_cell_volume   224.88312812
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  0.50000000  0.27336265  0.25000000  1
  Na  Na1  1  -0.00000001  0.22663735  0.75000002  1
  Na  Na2  1  0.00000000  0.77336265  0.25000000  1
  Na  Na3  1  0.50000000  0.72663735  0.75000000  1
  V  V4  1  0.49999999  0.00000001  -0.00000003  1
  V  V5  1  0.50000003  -0.00000000  0.49999998  1
  V  V6  1  -0.00000005  0.50000000  -0.00000005  1
  V  V7  1  0.00000004  0.49999998  0.49999994  1
  O  O8  1  0.50000000  0.50188844  0.25000003  1
  O  O9  1  -0.00000001  -0.00188845  0.75000002  1
  O  O10  1  0.50000001  0.13582072  0.99101344  1
  O  O11  1  0.00000000  0.36417928  0.00898658  1
  O  O12  1  0.00000001  0.36417927  0.49101344  1
  O  O13  1  0.49999999  0.13582074  0.50898657  1
  O  O14  1  -0.00000001  1.00188844  0.25000001  1
  O  O15  1  0.50000000  0.49811155  0.75000003  1
  O  O16  1  0.00000000  0.63582071  0.99101344  1
  O  O17  1  0.50000000  0.86417927  0.00898656  1
  O  O18  1  0.50000000  0.86417928  0.49101345  1
  O  O19  1  -0.00000001  0.63582076  0.50898657  1
",True,"P1
2.98024310 12.80279826 5.89386631
90 90 90
Na 1 0.50000000 0.27336265 0.25000000
Na 1 -0.00000001 0.22663735 0.75000002
Na 1 0.00000000 0.77336265 0.25000000
Na 1 0.50000000 0.72663735 0.75000000
V 1 0.49999999 0.00000001 -0.00000003
V 1 0.50000003 -0.00000000 0.49999998
V 1 -0.00000005 0.50000000 -0.00000005
V 1 0.00000004 0.49999998 0.49999994
O 1 0.50000000 0.50188844 0.25000003
O 1 -0.00000001 -0.00188845 0.75000002
O 1 0.50000001 0.13582072 0.99101344
O 1 0.00000000 0.36417928 0.00898658
O 1 0.00000001 0.36417927 0.49101344
O 1 0.49999999 0.13582074 0.50898657
O 1 -0.00000001 1.00188844 0.25000001
O 1 0.50000000 0.49811155 0.75000003
O 1 0.00000000 0.63582071 0.99101344
O 1 0.50000000 0.86417927 0.00898656
O 1 0.50000000 0.86417928 0.49101345
O 1 -0.00000001 0.63582076 0.50898657"
mp-763901,RL_No_Thinking,2.1078801971435563,0.13740829968164103,"P1
3.90465800 3.90465800 3.90465800
90 90 90
Na 1 0.00000000 0.00000000 0.00000000
V 1 0.50000000 0.50000000 0.50000000
O 1 0.00000000 0.50000000 0.50000000
O 1 0.50000000 0.50000000 0.00000000
O 1 0.50000000 0.00000000 0.50000000",True,True,"# generated using pymatgen
data_NaVO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.77124340
_cell_length_b   3.77124330
_cell_length_c   3.77124343
_cell_angle_alpha   89.99999998
_cell_angle_beta   89.99999976
_cell_angle_gamma   90.00000048
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaVO3
_chemical_formula_sum   'Na1 V1 O3'
_cell_volume   53.63566640
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Na  Na0  1  -0.00000000  0.00000000  0.00000000  1
  V  V1  1  0.50000000  0.50000000  0.50000000  1
  O  O2  1  0.00000000  0.50000000  0.50000000  1
  O  O3  1  0.50000000  0.50000000  0.00000000  1
  O  O4  1  0.50000000  0.00000000  0.50000000  1
",True,"P1
3.77124340 3.77124330 3.77124343
90 90 90
Na 1 -0.00000000 0.00000000 0.00000000
V 1 0.50000000 0.50000000 0.50000000
O 1 0.00000000 0.50000000 0.50000000
O 1 0.50000000 0.50000000 0.00000000
O 1 0.50000000 0.00000000 0.50000000"
mp-1072097,With_Thinking,1.9887142181396484,0.8568556401171881,"P1
5.32984979 5.32984979 5.32984979
60 60 60
Gd 1 0.25000000 0.25000000 0.25000000
In 1 -0.00000000 -0.00000000 -0.00000000
Pt 1 0.62485992 0.62485992 0.12556930
Pt 1 0.62485992 0.12556930 0.62485992
Pt 1 0.12556930 0.62485992 0.62485992
Pt 1 0.62485992 0.62485992 0.62485992",True,True,"# generated using pymatgen
data_GdInPt4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.43909761
_cell_length_b   5.43909752
_cell_length_c   5.43909771
_cell_angle_alpha   60.00027764
_cell_angle_beta   60.00027789
_cell_angle_gamma   60.00027832
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdInPt4
_chemical_formula_sum   'Gd1 In1 Pt4'
_cell_volume   113.78062048
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.25000269  0.25000269  0.25000268  1
  In  In1  1  0.00000077  0.00000078  0.00000077  1
  Pt  Pt2  1  0.62503180  0.62503180  0.12504871  1
  Pt  Pt3  1  0.62503180  0.12504870  0.62503180  1
  Pt  Pt4  1  0.12504871  0.62503180  0.62503180  1
  Pt  Pt5  1  0.62503329  0.62503329  0.62503329  1
",True,"P1
5.43909761 5.43909752 5.43909771
60.0003 60.0003 60.0003
Gd 1 0.25000269 0.25000269 0.25000268
In 1 0.00000077 0.00000078 0.00000077
Pt 1 0.62503180 0.62503180 0.12504871
Pt 1 0.62503180 0.12504870 0.62503180
Pt 1 0.12504871 0.62503180 0.62503180
Pt 1 0.62503329 0.62503329 0.62503329"
mp-1072097,RL_With_Thinking,1.9887142181396484,0.8568550043343102,"P1
5.35626183 5.35626183 5.35626183
60 60 60
Gd 1 0.00000000 0.00000000 0.00000000
In 1 0.25000000 0.25000000 0.25000000
Pt 1 0.62465011 0.62465011 0.12617877
Pt 1 0.62465011 0.12617877 0.62465011
Pt 1 0.12617877 0.62465011 0.62465011
Pt 1 0.62465011 0.62465011 0.62465011",True,True,"# generated using pymatgen
data_GdInPt4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.43857716
_cell_length_b   5.43857705
_cell_length_c   5.43857712
_cell_angle_alpha   59.99977677
_cell_angle_beta   59.99977737
_cell_angle_gamma   59.99977837
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GdInPt4
_chemical_formula_sum   'Gd1 In1 Pt4'
_cell_volume   113.74666770
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Gd  Gd0  1  0.00000199  0.00000200  0.00000200  1
  In  In1  1  0.25000055  0.25000055  0.25000054  1
  Pt  Pt2  1  0.62484475  0.62484475  0.12559117  1
  Pt  Pt3  1  0.62484476  0.12559116  0.62484475  1
  Pt  Pt4  1  0.12559116  0.62484475  0.62484475  1
  Pt  Pt5  1  0.62484589  0.62484589  0.62484589  1
",True,"P1
5.43857716 5.43857705 5.43857712
59.9998 59.9998 59.9998
Gd 1 0.00000199 0.00000200 0.00000200
In 1 0.25000055 0.25000055 0.25000054
Pt 1 0.62484475 0.62484475 0.12559117
Pt 1 0.62484476 0.12559116 0.62484475
Pt 1 0.12559116 0.62484475 0.62484475
Pt 1 0.62484589 0.62484589 0.62484589"
